Cell Type,Gene Number,Network Type,AUPR,AUROC
hESC,500,STRING,0.5875576279128604,0.9030320237104836
hESC,500,Cellspecific,0.4864364306637027,0.8313459948855173
hESC,500,Nonspecific,0.06166997619691952,0.6440230634989241
hESC,1000,STRING,0.6284104591728762,0.9085449607288241
hESC,1000,Cellspecific,0.4625970702667459,0.8209794963765428
hESC,1000,Nonspecific,0.07323894702397568,0.6826469422396223
hHEP,500,STRING,0.5343784763082152,0.8960024604465613
hHEP,500,Cellspecific,0.7167990451422578,0.8837005306486808
hHEP,500,Nonspecific,0.04899763950321397,0.7015274714966628
hHEP,1000,STRING,0.5252061006263581,0.8790017762790616
hHEP,1000,Cellspecific,0.7344653886697594,0.8972572126581737
hHEP,1000,Nonspecific,0.0506108168577363,0.6998643590645097
mESC,500,STRING,0.46197967483824154,0.9033048887640425
mESC,500,Cellspecific,0.7092041813126091,0.8344154692861958
mESC,500,Nonspecific,0.10993833063954489,0.7355311488308989
mESC,500,LOFGOF,0.7297238105020069,0.8918521298069458
mESC,1000,STRING,0.5072648592032086,0.8980813639790498
mESC,1000,Cellspecific,0.7516701166576432,0.857442391342822
mESC,1000,Nonspecific,0.08800783557018894,0.7404216967561501
mESC,1000,LOFGOF,0.7887605344440859,0.9306070818004228
mDC,500,STRING,0.5833614410838465,0.8989185794844674
mDC,500,Cellspecific,0.3488829422452684,0.5705213903743316
mDC,500,Nonspecific,0.23427962041069297,0.8012455088432021
mDC,1000,STRING,0.6235039006829428,0.893214023913065
mDC,1000,Cellspecific,0.47553258386511643,0.7369162848680711
mDC,1000,Nonspecific,0.2853658035759966,0.7942279758771422
