Cell Type,Gene Number,Network Type,AUPR,AUROC
hESC,500,STRING,0.5907521198579718,0.9042643123544557
hESC,500,Cellspecific,0.4365292037952619,0.8137004239477853
hESC,500,Nonspecific,0.057967543746560574,0.6406757385342703
hESC,1000,STRING,0.6324182953434532,0.8993103924487107
hESC,1000,Cellspecific,0.5547666032032538,0.8565177656733016
hESC,1000,Nonspecific,0.06258319001060782,0.689924159725665
hHEP,500,STRING,0.561560716293066,0.8965719786518674
hHEP,500,Cellspecific,0.7509238979538615,0.8925984225271144
hHEP,500,Nonspecific,0.039380794795526156,0.7187755709252142
hHEP,1000,STRING,0.5041674816084347,0.8653272138639174
hHEP,1000,Cellspecific,0.7278627606174288,0.8923766007420041
hHEP,1000,Nonspecific,0.0425978142102623,0.6926547774416334
mESC,500,STRING,0.4734250076958201,0.8995428424289874
mESC,500,Cellspecific,0.6732569993260055,0.8163323701498856
mESC,500,Nonspecific,0.10873051183017109,0.7433836530308999
mESC,500,LOFGOF,0.7063182059250216,0.8836408570984938
mESC,1000,STRING,0.5054025510962254,0.8968180226025462
mESC,1000,Cellspecific,0.7571870273351003,0.8602112214481064
mESC,1000,Nonspecific,0.085000582079205,0.7245165904660421
mESC,1000,LOFGOF,0.769975604527034,0.9238062234462782
mDC,500,STRING,0.5789195336879326,0.895697713750889
mDC,500,Cellspecific,0.4462504642300156,0.7111783383139352
mDC,500,Nonspecific,0.25779066197988076,0.7882605739406608
mDC,1000,STRING,0.6126761906222441,0.8904809854480975
mDC,1000,Cellspecific,0.4666011444693919,0.7123091337869921
mDC,1000,Nonspecific,0.253368162347397,0.7828600695167522
