Cell Type,Gene Number,Network Type,AUPR,AUROC
hESC,500,STRING,0.4903539820994114,0.8861931323355206
hESC,500,Cellspecific,0.44361001875036504,0.8158029774374579
hESC,500,Nonspecific,0.05286071772050013,0.6525064195601206
hESC,1000,STRING,0.5684317551014885,0.8848419726997918
hESC,1000,Cellspecific,0.4821929775688604,0.8371913487249545
hESC,1000,Nonspecific,0.046205780662295484,0.698375040390979
hHEP,500,STRING,0.35248002244101384,0.8537797954022941
hHEP,500,Cellspecific,0.7160144193947722,0.8825592513835528
hHEP,500,Nonspecific,0.03555990556522906,0.7258442854714012
hHEP,1000,STRING,0.4170399709442509,0.8392422745834278
hHEP,1000,Cellspecific,0.7617243757647013,0.9057831891060709
hHEP,1000,Nonspecific,0.032729715110769095,0.7054442193933285
mESC,500,STRING,0.17980116264959808,0.8487672483070148
mESC,500,Cellspecific,0.6993894216878268,0.8390902977427496
mESC,500,Nonspecific,0.03753215861545618,0.7129653355372354
mESC,500,LOFGOF,0.727140630185839,0.8949950830702346
mESC,1000,STRING,0.37622366905825766,0.8716190160675403
mESC,1000,Cellspecific,0.7546225305087404,0.8636644278613383
mESC,1000,Nonspecific,0.06267227021133798,0.752859987737971
mESC,1000,LOFGOF,0.7842085786606785,0.9252542605254805
mDC,500,STRING,0.4925941721796462,0.8435594267966317
mDC,500,Cellspecific,0.36948797646677667,0.6526349677571562
mDC,500,Nonspecific,0.21008348296324417,0.7848840767737786
mDC,1000,STRING,0.4749555115754254,0.8466286441668566
mDC,1000,Cellspecific,0.5134229810869447,0.7491126656555952
mDC,1000,Nonspecific,0.24931576638859768,0.7891079484869346
